NOMBRE,APELLIDO,CIUDAD,DIRECCION,CODIGO POSTAL,TELEFONO,SEGURO SOCIAL,MAIL,PAIS,CARD NUMBER,CADUCIDAD,CVV,ACTIVOS,PASIVOS,PATRIMONIO,EMPRESA,FECHA,ACTIVIDAD,RUC,CUENTA,CARGO,INSTITUCION,PERIODO,ABA,SWIFT
agustin,espinoza,Guayaquil,Av. Rodolfo Baquerizo Nazur. Albocentro 5 Edificio D1. oF. 102,0,(593 4) 2244557,130375361-8,aespinoza@alumni.ie.edu,Ecuador,6761213108187670,05/09/2025,556,9599,1234,8365,LAFABRIL S.A.,2016-01-18,Manufactura,110303704800-1,2200617253,Jefe de Cajas,Ministerio del Ambiente,2018-2020,ES6621000418401234567891,CHASUS33XXX
antonia,silva,Guayas,Alborada 6 Etapa Manzana 625 Villa 26,0,(593) (4) 2645735,170617264-8,asilva@gmail.com,Ecuador,5038665148563781,15/09/2020,501,12031,4567,7464,NESTLE ECUADOR,2016-01-19,Alimentos,170499701200-1,2201987463,Supervisor de Cajas,Ministerio de Cultura,2018-2020,ES6000491500051234567892,BOFAUS3NXXX
jesus,padilla,Guayas,Pedro Carbo 634 y Aguirre Esq,0,04-2322679,010096765-2,jpadilla@gmail.com,Ecuador,5893993198900792,23/03/2019,889,7823,4567,3256,UNIVERSAL SWEET INDUSTRIES,2016-01-20,Alimentos,171481829900-1,2205761423,Cajero,Ministerio de Vivienda,2018-2020,ES9420805801101234567891,MIDLGB22XXX
venancio,marquez,Cañar,Bolívar E/ Aurelio jaramillo y General Enriquez junto a la Casa de la Cultura,0,07-2245325,110303704-8,vmarquez@alumni.ie.edu,Ecuador,4716682352334637,18/01/2021,511,19069,9484,9585,PRONACA,2016-01-21,Alimentos,171362707100-1,2209876543,Jefe de Cajas,Ministerio de Deporte,2018-2020,ES9000246912501234567891,BARCGB22XXX
marisol,cortez,Quito,desde tu celular: EcuaCel.Mobi,0,(593 2) 2861371/2863114,170499701-2,mcortez@hotmail.com,Ecuador,4024007128281879,06/10/2024,656,78346,73983,4363,CORPORACIÓN LA FAVORITA,2016-01-22,Retail,20098216300-1,2200137535,Supervisor de Cajas,Ministerio de Turismo,2018-2020,ES7100302053091234567895,ABNANL2AXXX
noelia,rojas,Quito,Av. 10 de Agosto N21-182 y San Gregorio. 5to piso,0,(593 2) 2549311/2544007,171481829-9,nrojas@kriptos.io,Ecuador,4539662688374949679,19/10/2020,243,12839,4263,8576,VECONSA,2016-01-23,Manufactura,91353774200-1,2206543176,Cajero,Ministerio de Salud,2018-2020,ES1000492352082414205416,CITIUS33XXX
diana,acosta,Guayaquil,Km 13.5 Vía Daule,0,(593 - 4) 5005085 - 5005086,171362707-1,dacosta@hotmail.com,Ecuador,6011102970786958,17/06/2022,298,80206,73463,6743,CONFITECA ,2016-01-24,Alimentos,40119729800-1,2200617253,Jefe de Cajas,Ministerio de Educación,2018-2020,ES1720852066623456789011,WFBIUS6SXXX
democrito,figueroa,Chimborazo,Chimborazo 411,0,(593 4) 2324551,020098216-3,dfigueroa@kriptos.io,Ecuador,6011789653170995,03/07/2023,465,85273,83648,1625,TELEFÓNICA,2016-01-25,Telecomunicaciones,70264855100-1,2201987463,Supervisor de Cajas,Ministerio de Justicia,2018-2020,ES6621000418401234567891,NWBKGB2LXXX
isabel,luna,Azuay,Sucre 11-32 y Gral Torres,0,07-2827811,091353774-2,iluna@kriptos.io,Ecuador,6011918955250826705,12/04/2019,228,69202,65237,3965,CHUBB SEGUROS,2016-01-26,Seguros,171524143100-1,2205761423,Cajero,Ministerio del Interior,2018-2020,ES6000491500051234567892,COBADEFFXXX
fernanda,juarez,Quito,Av. 6 de Diciembre N47-241 y Samuel Fritz (El Inca),0,(593 ) 2 408 481,040119729-8,fjuarez@gmail.com,Ecuador,30249488824498,15/05/2021,111,67949,62573,5376,ADELCA,2016-01-27,Manufactura,91738528800-1,2209876543,Jefe de Cajas,Ministerio de Agricultura y Ganadería,2018-2020,ES9420805801101234567891,BNPAFRPPXXX
adan,navarro,Quito,Av. 10 de Agosto N35-88 (4712) y Mañosca,0,(593 2) 2923906/2451729/2250129,070264855-1,anavarro@kriptos.io,Ecuador,5247053125612599,14/01/2021,350,106530,97935,8595,NOVACERO,2016-01-28,Manufactura,110375613400-1,2200137535,Supervisor de Cajas,Ministerio del Ambiente,2018-2020,ES9000246912501234567891,POALILITXXX
miguel,campos,Guayas,Robles 505 y Fco Segura,0,04-2445976,171524143-4,mcampos@alumni.ie.edu,Ecuador,3530049566008819,27/09/2025,399,16730,8365,8365,EPACEM,2016-01-29,Manufactura,110303704800-1,2206543176,Cajero,Ministerio de Cultura,2018-2020,ES7100302053091234567895,AXISINBB002
ciro,molina,Ambato,Centro Comercial Ambato,0,999218286,091738528-8,cmolina@gmail.com,Ecuador,3537603800402940,22/04/2020,656,14928,7464,7464,RIO MANSO,2016-01-30,Manufactura,170499701200-1,2200617253,Jefe de Cajas,Ministerio de Vivienda,2018-2020,ES1000492352082414205416,CHASUS33XXX
fernando,avila,Quito,Av. Pedro Vicente Maldonado 10499 y Ayapamba,0,(593 ) 1800- 242427,110375613-4,favila@kriptos.io,Ecuador,3537990079246494094,01/04/2021,81,6512,3256,3256,GENERAL MOTORS OBB,2016-01-31,Manufactura,171481829900-1,2201987463,Supervisor de Cajas,Ministerio de Deporte,2018-2020,ES1720852066623456789011,BOFAUS3NXXX
viviana,ayala,Guayas,José Mascote 101,0,04-2394165,060164662-3,vayala@gmail.com,Ecuador,36197792576235,22/04/2021,89,19170,9585,9585,WARTSILA,2016-02-01,Petróleos,110303704800-1,2205761423,Cajero,Ministerio de Turismo,2018-2020,ES6621000418401234567891,MIDLGB22XXX
guillermo,mejia,Quito,Santiago Oe2 131,0,(593 2) 2528492,110320146-1,gmejia@alumni.ie.edu,Ecuador,36452385441473,28/01/2022,308,8726,4363,4363,BAKER HUGHES,2016-02-02,Petróleos,170499701200-1,2209876543,Jefe de Cajas,Ministerio de Salud,2018-2020,ES6000491500051234567892,BARCGB22XXX
salomon,carrillo,Quito,"Av. Amazonas Y Ramirez Davalos Esq, Edf. Turismundial",0,(593 2) 2505600/(2) 0992941946/(2) 0984265453,010205134-9,scarrillo@hotmail.com,Ecuador,36773189648611,01/05/2021,588,17152,8576,8576,HALLIBURTON,2016-02-03,Petróleos,171481829900-1,2200137535,Supervisor de Cajas,Ministerio de Educación,2018-2020,ES9420805801101234567891,ABNANL2AXXX
dolores,duran,Pichincha,Av 10 de Agosto N46-77 y Retamas,0,02-2410104,171358022-1,dduran@hotmail.com,Ecuador,6374821726124534,11/04/2020,869,13486,6743,6743,SCHLUMBERGER,2016-02-04,Petróleos,171362707100-1,2206543176,Cajero,Ministerio de Justicia,2018-2020,ES9000246912501234567891,CITIUS33XXX
zacarias,santos,Guayaquil,Manuel Maria Sanchez E10-14 Y 6 De Diciembre,0,(593 2) 2271945/(593 2) 2242299/(2) 0984504360/(2) 0984504589,060189939-6,zsantos@alumni.ie.edu,Ecuador,6389295102588872,28/08/2024,340,3250,1625,1625,LAFABRIL S.A.,2016-02-05,Manufactura,20098216300-1,2200617253,Jefe de Cajas,Ministerio del Interior,2018-2020,ES7100302053091234567895,WFBIUS6SXXX
